plot_id,species,spp_code,dbh_cm,top_kill,full_kill
1,Acacia dealbata,ACADEA,19,1,1
1,Acacia dealbata,ACADEA,19.5,1,1
1,Acacia dealbata,ACADEA,21.5,1,1
1,Acacia dealbata,ACADEA,23.2,1,1
1,Acacia dealbata,ACADEA,23.4,1,1
1,Acacia dealbata,ACADEA,26.2,1,1
1,Acacia dealbata,ACADEA,27.3,1,1
1,Acacia dealbata,ACADEA,30.8,1,1
1,Acacia dealbata,ACADEA,30.9,1,1
1,Acacia dealbata,ACADEA,31,1,1
1,Acacia dealbata,ACADEA,32.5,1,1
1,Acacia dealbata,ACADEA,32.8,1,1
1,Acacia dealbata,ACADEA,33.4,1,1
1,Acacia dealbata,ACADEA,33.5,1,1
1,Acacia dealbata,ACADEA,33.5,1,1
1,Acacia dealbata,ACADEA,37,1,1
1,Acacia dealbata,ACADEA,40,1,1
1,Acacia dealbata,ACADEA,45,1,1
1,Acacia dealbata,ACADEA,53,1,1
1,Atherosperma moschatum,ATHMOS,13.6,1,1
1,Atherosperma moschatum,ATHMOS,14.9,1,1
1,Atherosperma moschatum,ATHMOS,15.2,1,1
1,Eucalyptus regnans,EUCREG,42.3,1,1
1,Eucalyptus regnans,EUCREG,80,0,0
1,Eucalyptus regnans,EUCREG,81.4,0,0
1,Eucalyptus regnans,EUCREG,101.5,0,0
1,Eucalyptus regnans,EUCREG,104.6,0,0
1,Eucalyptus regnans,EUCREG,125.5,0,0
1,Nothafagus cunninghami,NOTCUN,10.2,1,1
1,Nothafagus cunninghami,NOTCUN,10.8,1,1
1,Nothafagus cunninghami,NOTCUN,11.5,1,1
1,Nothafagus cunninghami,NOTCUN,11.8,1,1
1,Nothafagus cunninghami,NOTCUN,12,1,1
1,Nothafagus cunninghami,NOTCUN,12.2,1,1
1,Nothafagus cunninghami,NOTCUN,12.9,0,1
1,Nothafagus cunninghami,NOTCUN,13,1,1
1,Nothafagus cunninghami,NOTCUN,13.1,1,1
1,Nothafagus cunninghami,NOTCUN,13.6,0,1
1,Nothafagus cunninghami,NOTCUN,13.9,0,1
1,Nothafagus cunninghami,NOTCUN,14.5,1,1
1,Nothafagus cunninghami,NOTCUN,14.7,1,1
1,Nothafagus cunninghami,NOTCUN,14.8,0,1
1,Nothafagus cunninghami,NOTCUN,14.8,1,1
1,Nothafagus cunninghami,NOTCUN,14.9,1,1
1,Nothafagus cunninghami,NOTCUN,15.4,0,1
1,Nothafagus cunninghami,NOTCUN,15.5,0,0
1,Nothafagus cunninghami,NOTCUN,15.5,1,1
1,Nothafagus cunninghami,NOTCUN,15.5,1,1
1,Nothafagus cunninghami,NOTCUN,16,0,1
1,Nothafagus cunninghami,NOTCUN,16,1,1
1,Nothafagus cunninghami,NOTCUN,16.1,0,1
1,Nothafagus cunninghami,NOTCUN,16.2,1,1
1,Nothafagus cunninghami,NOTCUN,16.3,0,1
1,Nothafagus cunninghami,NOTCUN,16.4,0,1
1,Nothafagus cunninghami,NOTCUN,16.5,0,1
1,Nothafagus cunninghami,NOTCUN,16.5,1,1
1,Nothafagus cunninghami,NOTCUN,16.5,1,1
1,Nothafagus cunninghami,NOTCUN,16.5,1,1
1,Nothafagus cunninghami,NOTCUN,16.5,1,1
1,Nothafagus cunninghami,NOTCUN,16.6,1,1
1,Nothafagus cunninghami,NOTCUN,16.8,1,1
1,Nothafagus cunninghami,NOTCUN,17,0,0
1,Nothafagus cunninghami,NOTCUN,17.8,0,1
1,Nothafagus cunninghami,NOTCUN,18.2,0,1
1,Nothafagus cunninghami,NOTCUN,18.2,1,1
1,Nothafagus cunninghami,NOTCUN,18.5,0,1
1,Nothafagus cunninghami,NOTCUN,18.6,0,1
1,Nothafagus cunninghami,NOTCUN,18.8,0,1
1,Nothafagus cunninghami,NOTCUN,19.2,0,1
1,Nothafagus cunninghami,NOTCUN,19.8,1,1
1,Nothafagus cunninghami,NOTCUN,20.5,0,1
1,Nothafagus cunninghami,NOTCUN,20.5,1,1
1,Nothafagus cunninghami,NOTCUN,20.5,1,1
1,Nothafagus cunninghami,NOTCUN,21,0,1
1,Nothafagus cunninghami,NOTCUN,21,1,1
1,Nothafagus cunninghami,NOTCUN,21.2,0,1
1,Nothafagus cunninghami,NOTCUN,22,0,1
1,Nothafagus cunninghami,NOTCUN,22.3,0,1
1,Nothafagus cunninghami,NOTCUN,22.3,0,1
1,Nothafagus cunninghami,NOTCUN,23.2,1,1
1,Nothafagus cunninghami,NOTCUN,24.5,0,1
1,Nothafagus cunninghami,NOTCUN,24.5,0,1
1,Nothafagus cunninghami,NOTCUN,25.2,1,1
1,Nothafagus cunninghami,NOTCUN,25.3,0,1
1,Nothafagus cunninghami,NOTCUN,26.1,0,1
1,Nothafagus cunninghami,NOTCUN,29,1,1
1,Nothafagus cunninghami,NOTCUN,29,1,1
1,Nothafagus cunninghami,NOTCUN,31,0,1
1,Nothafagus cunninghami,NOTCUN,32,0,0
1,Nothafagus cunninghami,NOTCUN,42,0,1
1,Nothafagus cunninghami,NOTCUN,61.8,1,1
1,Nothafagus cunninghami,NOTCUN,112,1,1
1,Nothafagus cunninghami,NOTCUN,117,1,1
2,Acacia dealbata,ACADEA,12.4,1,1
2,Acacia dealbata,ACADEA,12.6,1,1
2,Acacia dealbata,ACADEA,13.8,1,1
2,Acacia dealbata,ACADEA,13.9,1,1
2,Acacia dealbata,ACADEA,14.1,1,1
2,Acacia dealbata,ACADEA,14.4,1,1
2,Acacia dealbata,ACADEA,14.8,1,1
2,Acacia dealbata,ACADEA,15.5,1,1
2,Acacia dealbata,ACADEA,16.2,1,1
2,Acacia dealbata,ACADEA,16.3,1,1
2,Acacia dealbata,ACADEA,16.5,1,1
2,Acacia dealbata,ACADEA,17.5,1,1
2,Acacia dealbata,ACADEA,18.3,1,1
2,Acacia dealbata,ACADEA,18.6,1,1
2,Acacia dealbata,ACADEA,18.7,1,1
2,Acacia dealbata,ACADEA,18.8,1,1
2,Acacia dealbata,ACADEA,19.2,1,1
2,Acacia dealbata,ACADEA,19.7,1,1
2,Acacia dealbata,ACADEA,19.7,1,1
2,Acacia dealbata,ACADEA,19.8,1,1
2,Acacia dealbata,ACADEA,19.8,1,1
2,Acacia dealbata,ACADEA,19.9,1,1
2,Acacia dealbata,ACADEA,20,1,1
2,Acacia dealbata,ACADEA,20.4,1,1
2,Acacia dealbata,ACADEA,20.5,1,1
2,Acacia dealbata,ACADEA,20.9,1,1
2,Acacia dealbata,ACADEA,20.9,1,1
2,Acacia dealbata,ACADEA,21.8,1,1
2,Acacia dealbata,ACADEA,22,1,1
2,Acacia dealbata,ACADEA,22.5,1,1
2,Acacia dealbata,ACADEA,22.8,1,1
2,Acacia dealbata,ACADEA,23,1,1
2,Acacia dealbata,ACADEA,23,1,1
2,Acacia dealbata,ACADEA,23.7,0,0
2,Acacia dealbata,ACADEA,23.7,1,1
2,Acacia dealbata,ACADEA,24.4,1,1
2,Acacia dealbata,ACADEA,26.7,1,1
2,Acacia dealbata,ACADEA,26.7,1,1
2,Acacia dealbata,ACADEA,26.7,1,1
2,Acacia dealbata,ACADEA,27.1,1,1
2,Acacia dealbata,ACADEA,27.2,1,1
2,Acacia dealbata,ACADEA,28.2,1,1
2,Acacia dealbata,ACADEA,30.5,0,0
2,Acacia dealbata,ACADEA,31.5,1,1
2,Acacia dealbata,ACADEA,32,1,1
2,Acacia dealbata,ACADEA,32.4,0,0
2,Acacia dealbata,ACADEA,32.5,1,1
2,Acacia dealbata,ACADEA,33.1,1,1
2,Acacia dealbata,ACADEA,35.8,1,1
2,Acacia dealbata,ACADEA,36.2,0,0
2,Acacia dealbata,ACADEA,36.2,1,1
2,Acacia dealbata,ACADEA,40.1,1,1
2,Acacia dealbata,ACADEA,40.3,0,0
2,Acacia dealbata,ACADEA,40.8,1,1
2,Acacia dealbata,ACADEA,45.4,0,0
2,Eucalyptus regnans,EUCREG,36.1,0,0
2,Eucalyptus regnans,EUCREG,44.2,0,0
2,Eucalyptus regnans,EUCREG,51.2,0,0
2,Eucalyptus regnans,EUCREG,174.9,0,0
2,Eucalyptus regnans,EUCREG,205.6,0,0
2,Eucalyptus regnans,EUCREG,283.7,0,0
3,Acacia dealbata,ACADEA,13.3,1,1
3,Acacia dealbata,ACADEA,18.1,1,1
3,Acacia dealbata,ACADEA,21.3,1,1
3,Acacia dealbata,ACADEA,26.7,1,1
3,Acacia dealbata,ACADEA,31.7,1,1
3,Acacia dealbata,ACADEA,34.8,1,1
3,Acacia dealbata,ACADEA,40.6,1,1
3,Eucalyptus regnans,EUCREG,12.8,0,0
3,Eucalyptus regnans,EUCREG,23.9,1,1
3,Eucalyptus regnans,EUCREG,27.9,0,0
3,Eucalyptus regnans,EUCREG,30.7,1,1
3,Eucalyptus regnans,EUCREG,37.6,1,1
3,Eucalyptus regnans,EUCREG,48.8,1,1
3,Eucalyptus regnans,EUCREG,48.9,0,0
3,Eucalyptus regnans,EUCREG,50.7,0,0
3,Eucalyptus regnans,EUCREG,53.6,0,0
3,Eucalyptus regnans,EUCREG,55.3,0,0
3,Eucalyptus regnans,EUCREG,57.5,0,0
3,Eucalyptus regnans,EUCREG,62.1,0,0
3,Eucalyptus regnans,EUCREG,64.5,0,0
3,Eucalyptus regnans,EUCREG,64.6,1,1
3,Eucalyptus regnans,EUCREG,64.8,0,0
3,Eucalyptus regnans,EUCREG,64.8,0,0
3,Eucalyptus regnans,EUCREG,65.8,0,0
3,Eucalyptus regnans,EUCREG,69.8,0,0
3,Eucalyptus regnans,EUCREG,70.1,0,0
3,Eucalyptus regnans,EUCREG,70.2,0,0
3,Eucalyptus regnans,EUCREG,71.3,0,0
3,Eucalyptus regnans,EUCREG,73.8,0,0
3,Eucalyptus regnans,EUCREG,75.4,0,0
3,Eucalyptus regnans,EUCREG,88.5,0,0
3,Eucalyptus regnans,EUCREG,133.1,0,0
3,Lomatia fraseri,LOMFRA,10.8,0,1
3,Lomatia fraseri,LOMFRA,11.1,0,1
3,Lomatia fraseri,LOMFRA,11.8,1,1
3,Lomatia fraseri,LOMFRA,12,0,1
3,Lomatia fraseri,LOMFRA,12.4,0,1
3,Lomatia fraseri,LOMFRA,12.8,0,1
3,Lomatia fraseri,LOMFRA,13.7,0,1
3,Lomatia fraseri,LOMFRA,16.4,0,1
